Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1,0.004070086105151699,7.973324799059376,-105.221802884552
1.058424294923851,0.006222318366022429,8.427775988441043,-106.006017254357
1.12026198808505,0.006615599598062649,8.877086609607591,-106.8361064267446
1.185712504868911,0.00714764032006896,9.321885672265887,-107.7087755095787
1.254986921948269,0.007582993356397067,9.762409066879162,-108.6099985361033
1.328308648001751,0.007014089857593108,10.19955446326057,-109.5746400510946
1.405914144202507,0.008256327260515808,10.63245908810241,-110.5789909895618
1.488053686801006,0.006508262348111985,11.05879624649827,-111.5999359478903
1.574992174261191,0.008110691978732966,11.47881923506979,-112.7148654127306
1.667009981552986,0.006396537708361605,11.89412115559814,-113.8525873782771
1.764403864356239,0.00290796386089408,12.30047942085341,-115.0133187617125
1.86748791609217,0.004638461090675516,12.69745334602043,-116.2475102145388
1.976594580868665,0.005009682944127868,13.09100405211913,-117.4984403899661
2.092075725606221,0.00435399401522147,13.47475701830091,-118.8307200948312
2.214303774802068,0.006455039828735914,13.8418897744989,-120.1739390293801
2.3436729115921,0.007230615198378356,14.20503943239227,-121.5628126398043
2.480600348983998,0.004635358291972299,14.55769075405814,-122.9714081353387
2.625527675361243,0.007181591561675084,14.89827837362494,-124.4670369504811
2.77892227859728,0.004924956699205313,15.22880842664584,-125.9602504217017
2.941278853372508,0.006098034061835172,15.54174077429186,-127.4641027669462
3.113120996555226,0.006261851672121026,15.84856131419091,-129.0043779522464
3.295002895791604,0.004056565207196793,16.14247397984152,-130.584575113439
3.487511116750276,0.006228047906535437,16.41752306137952,-132.1637892174792
3.691266494785498,0.01004683554438539,16.67994642672656,-133.7572011321288
3.906926137119375,0.007904809819344294,16.93455643753523,-135.3710488102984
4.135185542000135,0.006798952701949462,17.16984926270187,-136.9495492276742
4.376780841670799,0.005890658918509518,17.39514768901669,-138.553701330469
4.632491176381629,0.003408487448557779,17.60790333865497,-140.1280485506306
4.903141207102687,0.007396175937708928,17.80140602372472,-141.6838263366179
5.18960377503974,0.006474652958197287,17.9850786715254,-143.235889047303
5.492802716530586,0.006876246507056317,18.16050125225796,-144.7784544112162
5.813715842399698,0.006018321362283606,18.31915479435665,-146.2784115952624
6.153378091379528,0.004128390351344097,18.4683974086263,-147.7585223027241
6.512884867768241,0.003104041494671425,18.60668151808588,-149.1785956284065
6.893395574087819,0.006927886628962389,18.72885857161805,-150.5805221168214
7.296137350135093,0.006045323582309341,18.84683989322276,-151.9325230342743
7.722409030484302,0.006031022853535236,18.95292820156831,-153.2593924091352
8.173585333203926,0.007406718390109736,19.0483605515539,-154.5456045285067
8.651121293296303,0.005646344478476769,19.13901727257291,-155.7840976162914
9.156556955157843,0.004385474878881011,19.22227691447304,-156.9665300782597
9.691522339193012,0.00585581079745013,19.29271499520913,-158.1336060305538
10.25774269859911,0.005177264751660697,19.36387350647503,-159.2461733318456
10.85704408327505,0.006101874756689073,19.42286899932211,-160.2980863733824
11.49135922879755,0.00606113415812425,19.48032102528684,-161.3202955903756
12.16273378945674,0.007428478451764501,19.52862293901618,-162.3043138857072
12.87333293545225,0.006610313177052765,19.57665500154256,-163.2410905497725
13.62544833552602,0.004619312607411667,19.6187020127947,-164.1396389698689
14.42150554755048,0.006470469334099472,19.65115587412359,-165.0086245144888
15.26407184090652,0.005117106628199801,19.68276039722605,-165.8206429169423
16.15586447587848,0.005910222451934946,19.71857488051221,-166.5933592355979
17.09975946676697,0.007268591990748047,19.73728042887019,-167.3651454309667
18.09880085698029,0.007213077674359252,19.76484700437618,-168.060226304535
19.15621053601653,0.006180705305476574,19.7868090872911,-168.7708429103547
20.27539862999611,0.006607950222860217,19.808967596619,-169.3743814259373
21.45997449925365,0.005883934458192776,19.82262114416276,-169.9858314493683
22.71375837845639,0.006207803207732713,19.83954789888302,-170.528636510443
24.04079369678839,0.007699100673031513,19.84895718244527,-171.0785993913797
25.44536011793301,0.006920697933938938,19.86697807929554,-171.632161737166
26.93198734190672,0.006257438540661615,19.88199486819266,-172.1041553453131
28.50546971325567,0.0065623146117984,19.89066430668769,-172.5868594793167
30.17088168272581,0.002021306271886934,19.90244355583744,-173.0523377864239
31.93359417227003,0.006048461012425022,19.91266996954073,-173.5018365480716
33.79929189616926,0.005699761040523617,19.91652902480098,-173.9143392001182
35.77399169412834,0.004184716679014338,19.92674011480389,-174.3306016832239
37.86406193546952,0.005444190230869872,19.92913128242492,-174.7165914918669
40.07624305700231,0.006649938581494055,19.93829268035979,-175.0959649334115
42.41766930080449,0.003737502985397892,19.94812574937118,-175.437282525402
44.89589172201712,0.004802844399664259,19.94068922952425,-175.8081567330328
47.51890254085352,0.005868897566211032,19.94779101095905,-176.0874276695944
50.29516091735803,0.005148482130233801,19.94630365699738,-176.4360553046317
53.23362023203628,0.002470112791644512,19.96076358414899,-176.7090587021859
56.34375696033707,0.004663829968086622,19.95385287915875,-177.0164094715699
59.63560123410552,0.006576810830180463,19.96703897714227,-177.3252139403151
63.11976918856806,0.005404159903434229,19.96524718326923,-177.5857785537673
66.80749719916639,0.008839793207827547,19.9640095528128,-177.9040827130634
70.71067811865476,0.005885252250290072,19.97001446930563,-178.1674683236795
74.84189963132452,0.007773619095569522,19.96787281858117,-178.423352387531
79.21448484804624,0.005008463964451896,19.97518465020419,-178.6628490556238
83.84253527304941,0.006169766209701021,19.96389604782005,-178.8921730948062
88.74097628100533,0.002360607256201353,19.97113858038241,-179.0953296690253
