#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3D271
#Date Time: 2025-02-10 13:04:13.186
#Sample rate: 80000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 1 V
#Offset: 1 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.0512,0.6885345068400625
-0.0511875,0.6959832716120095
-0.051175,0.7041091968177622
-0.0511625,0.7108808011558926
-0.05115,0.7183295659278359
-0.0511375,0.7261169109166858
-0.051125,0.733904255905539
-0.0511125,0.7410144404605726
-0.0511,0.7488017854494226
-0.0510875,0.7565891304382725
-0.051075,0.7640378952102158
-0.0510625,0.7714866599821629
-0.05105,0.7796125851879157
-0.0510375,0.7873999301767656
-0.051025,0.7945101147318024
-0.0510125,0.8026360399375588
-0.051,0.8104233849264122
-0.0509875,0.8178721496983522
-0.050975,0.825659494687202
-0.0509625,0.8331082594591455
-0.05095,0.8412341846649019
-0.0509375,0.8486829494368489
-0.050925,0.8564702944256951
-0.0509125,0.864257639414545
-0.0509,0.872044984403395
-0.0508875,0.8805094898260579
-0.050875,0.8879582545980048
-0.0508625,0.8957455995868512
-0.05085,0.9035329445757011
-0.0508375,0.911320289564551
-0.050825,0.919784794987214
-0.0508125,0.9268949795422544
-0.0508,0.9346823245311008
-0.0507875,0.9424696695199506
-0.050775,0.9509341749426136
-0.0507625,0.9580443594976504
-0.05075,0.9661702847034033
-0.0507375,0.9739576296922567
-0.050725,0.9820835548980132
-0.0507125,0.9895323196699566
-0.0507,0.9979968250926196
-0.0506875,1.006122750298372
-0.050675,1.013232934853413
-0.0506625,1.021020279842263
-0.05065,1.029146205048019
-0.0506375,1.037272130253776
-0.050625,1.044720895025716
-0.0506125,1.052508240014569
-0.0506,1.060295585003419
-0.0505875,1.068421510209175
-0.050575,1.076208855198025
-0.0505625,1.083657619969965
-0.05055,1.092460705609538
-0.0505375,1.099232309947668
-0.050525,1.107358235153425
-0.0505125,1.115484160359181
-0.0505,1.123271505348028
-0.0504875,1.130720270119975
-0.050475,1.138507615108824
-0.0504625,1.146633540314581
-0.05045,1.154082305086524
-0.0504375,1.16186965007537
-0.050425,1.16999557528113
-0.0504125,1.17778292026998
-0.0504,1.185231685041924
-0.0503875,1.192680449813867
-0.050375,1.201144955236526
-0.0503625,1.208255139791567
-0.05035,1.216042484780417
-0.0503375,1.224168409986173
-0.050325,1.231955754975023
-0.0503125,1.239065939530057
-0.0503,1.24685328451891
-0.0502875,1.254302049290853
-0.050275,1.262089394279703
-0.0502625,1.269538159051647
-0.05025,1.277325504040493
-0.0502375,1.284435688595533
-0.050225,1.29256161380129
-0.0502125,1.299671798356327
-0.0502,1.30712056312827
-0.0501875,1.31456932790021
-0.050175,1.322356672889063
-0.0501625,1.329805437661007
-0.05015,1.337592782649857
-0.0501375,1.344702967204894
-0.050125,1.351813151759927
-0.0501125,1.359261916531874
-0.0501,1.366710681303817
-0.0500875,1.373820865858854
-0.050075,1.381269630630797
-0.0500625,1.388718395402741
-0.05005,1.395489999740871
-0.0500375,1.402938764512815
-0.050025,1.410387529284758
-0.0500125,1.417497713839795
-0.05,1.424607898394832
-0.0499875,1.431718082949869
-0.049975,1.438828267504906
-0.0499625,1.446277032276849
-0.04995,1.452710056398073
-0.0499375,1.459481660736203
-0.049925,1.466930425508147
-0.0499125,1.473702029846277
-0.0499,1.480473634184407
-0.0498875,1.487583818739444
-0.049875,1.494355423077574
-0.0498625,1.500788447198802
-0.04985,1.508237211970742
-0.0498375,1.515008816308872
-0.049825,1.522119000863909
-0.0498125,1.528213444768226
-0.0498,1.53498504910636
-0.0497875,1.542095233661393
-0.049775,1.548189677565711
-0.0497625,1.554961281903841
-0.04975,1.561394306025065
-0.0497375,1.568165910363198
-0.049725,1.574260354267513
-0.0497125,1.580693378388736
-0.0497,1.587464982726867
-0.0496875,1.593559426631184
-0.049675,1.599992450752411
-0.0496625,1.606425474873632
-0.04965,1.612858498994856
-0.0496375,1.618952942899173
-0.049625,1.62504738680349
-0.0496125,1.63114183070781
-0.0496,1.636897694395218
-0.0495875,1.643330718516442
-0.049575,1.649425162420759
-0.0495625,1.65518102610817
-0.04955,1.660936889795584
-0.0495375,1.667031333699898
-0.049525,1.672787197387309
-0.0495125,1.678881641291627
